Tester: Sherry
Test Date: 2016-04-19 16:32
Test Mode: sharp and round
Test Type: Alternately
Test Round: 180
Test Result:
No.,Side,Answer,Response Time
1,right,c,0.996
2,right,c,0.772
3,left,c,0.631
4,right,c,0.784
5,left,c,0.544
6,left,c,0.719
7,right,c,0.503
8,right,c,0.632
9,left,c,0.6
10,left,c,0.534
11,right,c,0.551
12,left,c,0.639
13,left,c,0.641
14,right,c,0.607
15,right,c,0.676
16,left,c,0.585
17,right,c,0.632
18,left,c,0.583
19,right,c,0.824
20,right,c,1.165
21,left,c,0.713
22,right,c,0.624
23,left,c,0.591
24,left,c,0.704
25,left,c,0.519
26,left,c,0.592
27,right,c,0.767
28,right,c,0.895
29,right,c,0.558
30,left,c,0.935
31,right,c,0.632
32,left,c,0.928
33,right,c,0.551
34,right,c,1.559
35,left,c,0.631
36,left,c,0.832
37,right,c,0.598
38,right,c,0.839
39,left,c,0.671
40,right,c,0.71
41,left,c,0.608
42,right,c,0.895
43,right,c,0.559
44,right,c,0.695
45,right,c,0.471
46,left,c,0.621
47,right,c,0.633
48,right,c,0.911
49,right,c,0.535
50,left,c,0.431
51,right,c,0.656
52,left,c,0.862
53,right,c,0.856
54,right,c,0.782
55,left,c,0.656
56,right,c,0.945
57,left,c,0.63
58,right,c,0.71
59,left,c,0.815
60,right,c,0.519
61,left,c,0.712
62,right,c,0.647
63,left,c,0.848
64,left,c,1.104
65,left,c,0.624
66,left,c,0.991
67,right,c,0.655
68,right,c,0.671
69,right,c,0.664
70,right,c,0.608
71,right,c,0.552
72,left,c,0.647
73,right,c,0.583
74,left,c,0.824
75,left,c,0.616
76,right,c,0.519
77,left,c,0.799
78,left,c,0.623
79,left,c,0.535
80,left,c,0.623
81,right,c,0.775
82,left,c,0.727
83,left,c,0.559
84,right,c,0.855
85,left,c,0.567
86,right,w,0.648
87,right,c,1.333
88,right,c,1.265
89,right,c,0.535
90,left,c,0.56
91,left,c,0.583
92,left,c,0.519
93,left,c,0.527
94,left,c,0.639
95,right,c,0.56
96,right,c,0.607
97,left,c,0.487
98,right,c,0.727
99,right,c,0.583
100,right,c,0.888
101,left,c,0.583
102,left,c,0.88
103,right,c,0.927
104,left,c,0.575
105,left,c,0.671
106,left,c,0.664
107,left,c,0.527
108,right,c,0.576
109,left,c,0.592
110,right,c,0.641
111,left,c,0.55
112,right,c,0.585
113,right,c,0.615
114,left,c,0.735
115,left,c,0.552
116,right,c,0.695
117,right,c,0.768
